DOLocationID,Lieu de départ,Lieu d’arrivée
264,NV,NV
229,Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North
237,Upper East Side South,Upper East Side South
263,Yorkville West,Yorkville West
230,Times Sq/Theatre District,Times Sq/Theatre District
239,Upper West Side South,Upper West Side South
244,Washington Heights South,Washington Heights South
41,Central Harlem,Central Harlem
137,Kips Bay,Kips Bay
163,Midtown North,Midtown North
48,Clinton East,Clinton East
170,Murray Hill,Murray Hill
4,Alphabet City,Alphabet City
169,Mount Hope,Mount Hope
161,Midtown Center,Midtown Center
164,Midtown South,Midtown South
66,DUMBO/Vinegar Hill,DUMBO/Vinegar Hill
186,Penn Station/Madison Sq West,Penn Station/Madison Sq West
168,Mott Haven/Port Morris,Mott Haven/Port Morris
233,UN/Turtle Bay South,UN/Turtle Bay South
14,Bay Ridge,Bay Ridge
238,Upper West Side North,Upper West Side North
26,Borough Park,Borough Park
188,Prospect-Lefferts Gardens,Prospect-Lefferts Gardens
141,Lenox Hill West,Lenox Hill West
68,East Chelsea,East Chelsea
88,Financial District South,Financial District South
74,East Harlem North,East Harlem North
75,East Harlem South,East Harlem South
249,West Village,West Village
148,Lower East Side,Lower East Side
152,Manhattanville,Manhattanville
151,Manhattan Valley,Manhattan Valley
262,Yorkville East,Yorkville East
143,Lincoln Square West,Lincoln Square West
79,East Village,East Village
100,Garment District,Garment District
236,Upper East Side North,Upper East Side North
127,Inwood,Inwood
28,Briarwood/Jamaica Hills,Briarwood/Jamaica Hills
246,West Chelsea/Hudson Yards,West Chelsea/Hudson Yards
142,Lincoln Square East,Lincoln Square East
36,Bushwick North,Bushwick North
140,Lenox Hill East,Lenox Hill East
78,East Tremont,East Tremont
116,Hamilton Heights,Hamilton Heights
162,Midtown East,Midtown East
97,Fort Greene,Fort Greene
42,Central Harlem North,Central Harlem North
72,East Flatbush/Remsen Village,East Flatbush/Remsen Village
227,Sunset Park East,Sunset Park East
228,Sunset Park West,Sunset Park West
59,Crotona Park,Crotona Park
69,East Concourse/Concourse Village,East Concourse/Concourse Village
159,Melrose South,Melrose South
232,Two Bridges/Seward Park,Two Bridges/Seward Park
193,Queensbridge/Ravenswood,Queensbridge/Ravenswood
89,Flatbush/Ditmas Park,Flatbush/Ditmas Park
80,East Williamsburg,East Williamsburg
90,Flatiron,Flatiron
226,Sunnyside,Sunnyside
225,Stuyvesant Heights,Stuyvesant Heights
166,Morningside Heights,Morningside Heights
234,Union Sq,Union Sq
61,Crown Heights North,Crown Heights North
94,Fordham South,Fordham South
167,Morrisania/Melrose,Morrisania/Melrose
196,Rego Park,Rego Park
241,Van Cortlandt Village,Van Cortlandt Village
158,Meatpacking/West Village West,Meatpacking/West Village West
50,Clinton West,Clinton West
144,Little Italy/NoLiTa,Little Italy/NoLiTa
215,South Jamaica,South Jamaica
39,Canarsie,Canarsie
259,Woodlawn/Wakefield,Woodlawn/Wakefield
65,Downtown Brooklyn/MetroTech,Downtown Brooklyn/MetroTech
7,Astoria,Astoria
126,Hunts Point,Hunts Point
106,Gowanus,Gowanus
45,Chinatown,Chinatown
114,Greenwich Village South,Greenwich Village South
182,Parkchester,Parkchester
43,Central Park,Central Park
217,South Williamsburg,South Williamsburg
243,Washington Heights North,Washington Heights North
136,Kingsbridge Heights,Kingsbridge Heights
24,Bloomingdale,Bloomingdale
219,Springfield Gardens South,Springfield Gardens South
107,Gramercy,Gramercy
113,Greenwich Village North,Greenwich Village North
146,Long Island City/Queens Plaza,Long Island City/Queens Plaza
260,Woodside,Woodside
132,JFK Airport,JFK Airport
18,Bedford Park,Bedford Park
247,West Concourse,West Concourse
261,World Trade Center,World Trade Center
181,Park Slope,Park Slope
12,Battery Park,Battery Park
125,Hudson Sq,Hudson Sq
209,Seaport,Seaport
82,Elmhurst,Elmhurst
87,Financial District North,Financial District North
231,TriBeCa/Civic Center,TriBeCa/Civic Center
112,Greenpoint,Greenpoint
265,,
128,Inwood Hill Park,Inwood Hill Park
53,College Point,College Point
31,Bronx Park,Bronx Park
174,Norwood,Norwood
183,Pelham Bay,Pelham Bay
129,Jackson Heights,Jackson Heights
33,Brooklyn Heights,Brooklyn Heights
256,Williamsburg (South Side),Williamsburg (South Side)
177,Ocean Hill,Ocean Hill
145,Long Island City/Hunters Point,Long Island City/Hunters Point
17,Bedford,Bedford
235,University Heights/Morris Heights,University Heights/Morris Heights
130,Jamaica,Jamaica
